i	46
NodeId:75	0.434751231369,0.434752881677,29,34,37,51,54,65,85,91
NodeId:76	0.893525720575,0.893530285099,9
NodeId:77	0.630301785044,0.630304446302,0,5,32,37,40,41,44,69,79,83,85,86,87
NodeId:78	1.63156076874,1.63156919801,13,19,34,82
NodeId:79	0.983947959112,0.98395265819,0,26,43,74,90
NodeId:8	0.344757812235,0.344758829835,13,41,59,87
NodeId:80	1.18305998008,1.18306580258,31,79
NodeId:81	0.586893836706,0.586896183416,5,21,26,78,93,96
NodeId:82	0.67612652043,0.676129797699,2,23,24,32,52,53
NodeId:83	1.27038976977,1.27039616601,1,4,10,18,27,29,70
NodeId:84	1.06099238198,1.06099753516,9,21
NodeId:85	0.693572092241,0.693575264918,32,54,57,64,69,90,99
NodeId:86	1.32923708971,1.32924399919,11,60,71,95
NodeId:87	0.485555897418,0.485557596174,8,19,20,27,30,47,54,63
NodeId:88	1.26647376007,1.26648046485,21,26,44,50,55,82
NodeId:89	0.578794172958,0.578796533658,16,32,35,38,40,57,58
NodeId:9	1.66708043577,1.66708923867,33,39,41,43,51,69,80
NodeId:90	0.916488303947,0.916492826344,1,26,52,93,96
NodeId:91	0.747838233647,0.74784149271,12,24,66,81,95
NodeId:92	1.611677973,1.61168629312,22,34,39,57
NodeId:93	0.955417759666,0.95542252657,15,43,66,75
NodeId:94	1.05495328445,1.05495853334,4,17,20,90
NodeId:95	1.38683007478,1.3868373747,76,88
NodeId:96	0.81174899297,0.811752633841,12,13,24,31,60,74
NodeId:97	1.06933325523,1.06933891578,37,50,62,89
NodeId:98	1.12326031647,1.1232655731,5,13,15,28,49,66,92,94
NodeId:99	1.17988732609,1.179892962,1,83
